,Season,Team,npxg_created_op,npxg_created_sp,npxg_allowed_op,npxg_allowed_sp,xt_created,xt_allowed,box_shots,box_shots_conceded,box_touches,def_action_height,field_tilt,avg_seq_len,comp_passes,ppda,opp_buildup,high_pressure_regains
10,2022/23,Nottingham Forest,0.6386871537243998,0.2545068850992499,1.0860459107804945,0.4192948175241818,1.2780962094594597,2.436445310270271,6.054054054054054,9.64864864864865,17.405405405405407,42.39251013696528,34.00730564569016,2.8045945945945943,252.02702702702703,14.309729729729732,83.50243243243244,3.864864864864865
11,2022/23,Newcastle,1.227411689138726,0.5782114672106936,0.7064879364088962,0.2368093787839538,2.374859119473685,1.5923037523684211,10.63157894736842,6.131578947368421,32.578947368421055,48.440587514823214,59.8355198517548,3.375,364.3421052631579,8.536052631578947,75.29,6.368421052631579
12,2022/23,Man Utd,1.4531166932067356,0.2137624626425472,0.8701250870284196,0.3427461949554649,2.014557897837838,1.972947384054054,9.216216216216216,8.486486486486486,28.54054054054054,44.09406790527123,53.33628606661534,3.962702702702704,433.0,10.463243243243246,79.33,5.351351351351352
13,2022/23,Man City,1.5273292652658514,0.3841411706966323,0.5935217218624579,0.1912482594693633,2.7406174362162163,1.2099506956756756,10.37837837837838,4.837837837837838,35.62162162162162,52.89492410107109,71.20335074934066,5.934594594594595,610.8648648648649,8.72891891891892,78.6154054054054,6.675675675675675
14,2022/23,Tottenham,1.0041090916646154,0.329194818574347,1.0277576021065835,0.2308818037180524,1.957446535526316,1.9387443434210525,9.052631578947368,8.210526315789474,23.76315789473684,44.18295186028643,43.78766570727287,4.076052631578948,418.6578947368421,11.077894736842106,82.24131578947367,5.026315789473684
15,2022/23,West Ham,0.7430055125763542,0.3512765465696391,0.9486003584767644,0.3358129144425651,1.6438391373684211,2.0442398692105264,7.342105263157895,7.894736842105263,20.84210526315789,45.620096850857976,42.48261594415525,3.2634210526315792,317.05263157894734,14.242368421052632,84.24578947368421,4.868421052631579
16,2022/23,Wolves,0.617363724367399,0.1864015273994913,1.0697211603585042,0.3241963116452098,1.6234255021052633,2.091266223421052,6.578947368421052,9.105263157894736,19.394736842105264,44.15134947126258,44.900430243348325,3.745263157894737,381.3421052631579,10.671052631578943,81.94184210526313,4.789473684210527
17,2022/23,Southampton,0.6276663400624928,0.2542143124890955,1.1393889060709623,0.3427430868246837,1.5487115742105264,2.150423772105263,6.447368421052632,9.157894736842104,19.526315789473685,43.92244741596568,43.595448057255005,3.2236842105263164,316.55263157894734,12.265,80.75184210526315,4.0
18,2022/23,Leeds,0.8606517024730381,0.2927637362950726,1.2728432369859597,0.3641519266131677,1.7308494194736848,1.9637778157894732,7.973684210526316,9.5,22.026315789473685,46.337006419273074,51.12915158255792,2.901842105263158,323.60526315789474,9.089210526315789,77.42263157894736,6.157894736842105
19,2022/23,Leicester,0.9297607425404224,0.2253337652226419,1.0698301886257373,0.3752789686090852,1.5811210663157895,2.060085922631579,6.7105263157894735,9.31578947368421,19.105263157894736,44.36711559714357,42.296966160656616,3.81078947368421,390.1578947368421,11.641052631578944,81.90894736842105,4.5
