,Team,npxg_created_op,npxg_created_sp,npxg_allowed_op,npxg_allowed_sp,xt_created,xt_allowed,box_shots,box_shots_conceded,box_touches,def_action_height,field_tilt,avg_seq_len,comp_passes,ppda,opp_buildup,high_pressure_regains
10,Nottingham Forest,0.8815411296155717,0.27658387259752665,1.0390686100279842,0.3694919772722103,1.614289912222222,2.3749568437037047,7.0,8.666666666666666,20.85185185185185,41.23500378865536,0.38071520692568056,3.283703703703703,298.85185185185185,15.873703703703704,0.8527962962962965,3.962962962962963
11,Newcastle,1.3686353718595845,0.3616388807671943,1.1898257466299194,0.2506372368329072,2.06979665,1.8307850735714288,9.071428571428571,8.785714285714286,27.607142857142858,47.571164256717715,0.5168780406067858,4.228928571428573,420.39285714285717,8.857857142857144,0.8019357142857145,5.964285714285714
12,Man Utd,1.1479074127144284,0.3078885190188885,1.1851318837315947,0.40101178404357696,2.080025391481481,2.241179559259259,9.185185185185185,10.814814814814815,29.51851851851852,45.173518861292685,0.4859452239013034,3.9507407407407404,409.0,11.225555555555552,0.8191518518518519,6.148148148148148
13,Man City,1.6561473527779946,0.3497901852421749,0.7592560259195474,0.17404302281255907,2.9046392888461536,1.2453380388461541,11.307692307692308,5.1923076923076925,39.5,52.506959603341656,0.7397138382378163,6.170384615384616,636.3076923076923,9.13307692307692,0.8002461538461539,6.346153846153846
14,Tottenham,1.5144903338872469,0.2557362550511383,1.131111339236108,0.4036451942072465,2.4817718457692304,1.883547312307692,10.192307692307692,8.73076923076923,35.57692307692308,46.6672500476478,0.5862684929281528,4.665384615384615,531.6538461538462,6.9446153846153855,0.7829615384615385,6.269230769230769
15,West Ham,0.9957641247246001,0.35741715602300783,1.1735578924417496,0.4090598704362357,1.8041246244444442,2.457195017037037,7.851851851851852,9.62962962962963,20.814814814814813,43.940120900186926,0.38034021486276753,3.322962962962963,320.18518518518516,14.142222222222228,0.8436740740740745,3.925925925925926
16,Wolves,0.9222781373946755,0.31976280168250754,1.2931075361039903,0.3158033437061089,1.7126727133333337,2.3050696303703706,8.074074074074074,8.962962962962964,22.25925925925926,44.48578185649871,0.4322932260297969,3.7629629629629617,391.9259259259259,11.17148148148148,0.8196740740740741,4.962962962962963
17,Burnley,0.7590072094290344,0.22584761665375144,1.2629300035812236,0.48165963452171395,1.575878991111111,2.2789578711111114,6.2592592592592595,10.666666666666666,20.0,46.0395460143051,0.45704015003316484,3.6448148148148136,359.6666666666667,12.8237037037037,0.8042888888888889,4.296296296296297
18,Sheff Utd,1.456147469856121,0.3177986120529197,1.0603732190750264,0.4865571894786424,2.2475669007407406,1.716648582222222,10.148148148148149,7.814814814814815,30.0,46.61744084873877,0.5517677362761048,4.241851851851852,429.51851851851853,10.974444444444442,0.8127962962962962,5.2592592592592595
19,Luton,0.8817798567137548,0.4027136208356491,1.7752804556595427,0.468532987870276,1.9030901553571429,2.4451664549999994,7.928571428571429,11.964285714285714,22.642857142857142,44.909119885559896,0.4326065307016695,2.7382142857142853,278.89285714285717,11.619642857142859,0.8038857142857144,4.571428571428571
